127.0.0.1 - - [30/Jun/2023:15:35:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:04 +0900] "GET /postspot HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:04 +0900] "GET /postspot/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:10 +0900] "GET /postspot/login HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:10 +0900] "GET /postspot/resources/css/login.css HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:16 +0900] "GET /postspot/createAccount HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:16 +0900] "GET /postspot/resources/image/Postspot_logo1.png HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [30/Jun/2023:15:37:16 +0900] "GET /postspot/resources/css/account.css HTTP/1.1" 200 698
